date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:03:30	9475/9475	---M-Z	200	added ('OK')	text/css	date:Sun,%2002%20Apr%202023%2017:49:46%20GMT	https://wilhelmfontoura.com/wp-content/uploads/elementor/css/global.css?ver=1680457786	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/uploads/elementor/css/global54d5.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:30	4129/4129	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202023%2007:30:53%20GMT	https://wilhelmfontoura.com/wp-content/uploads/elementor/css/post-817.css?ver=1680507053	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/uploads/elementor/css/post-8174e05.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:31	573/573	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Mar%202022%2022:23:07%20GMT	https://wilhelmfontoura.com/wp-content/uploads/2022/03/cropped-44766-32x32.png	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/uploads/2022/03/cropped-44766-32x32.png	(from https://wilhelmfontoura.com/ceculitis/)
05:03:31	3521/3521	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Mar%202022%2022:23:07%20GMT	https://wilhelmfontoura.com/wp-content/uploads/2022/03/cropped-44766-192x192.png	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/uploads/2022/03/cropped-44766-192x192.png	(from https://wilhelmfontoura.com/ceculitis/)
05:03:32	3250/3250	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Mar%202022%2022:23:07%20GMT	https://wilhelmfontoura.com/wp-content/uploads/2022/03/cropped-44766-180x180.png	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/uploads/2022/03/cropped-44766-180x180.png	(from https://wilhelmfontoura.com/ceculitis/)
05:03:34	1307/1307	---M--	200	added ('OK')	image/jpeg	etag:%22b2fdd279394b224cf463e20457e62ab4%22	https://images.converteai.net/4da86613-4cca-44a0-bd19-2379014c6cdd/players/6368101c916f4d000bfa36fa/thumbnail.jpg	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/images.converteai.net/4da86613-4cca-44a0-bd19-2379014c6cdd/players/6368101c916f4d000bfa36fa/thumbnail.jpg	(from https://wilhelmfontoura.com/ceculitis/)
05:03:35	0/-1	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ce5244805195411b45e2bf568d8024fa%22	https://scripts.converteai.net/4da86613-4cca-44a0-bd19-2379014c6cdd/players/6368101c916f4d000bfa36fa/player.js	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/scripts.converteai.net/4da86613-4cca-44a0-bd19-2379014c6cdd/players/6368101c916f4d000bfa36fa/player.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:36	2997/2997	---M-Z	-1	error ('Error%20when%20decompressing')	text/css	date:Sun,%2002%20Apr%202023%2017:00:55%20GMT	https://wilhelmfontoura.com/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.12.1	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/plugins/elementor/assets/lib/animations/animations.minfb6f.css	(from https://wilhelmfontoura.com/ceculitis/)
05:03:37	8626/8626	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	date:Sat,%2022%20Apr%202023%2008:03:47%20GMT	https://wilhelmfontoura.com/ceculitis/Trident/	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/ceculitis/Trident/index.html	(from https://wilhelmfontoura.com/ceculitis/)
05:03:39	6018/6018	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Jul%202021%2003:38:58%20GMT	https://wilhelmfontoura.com/wp-content/themes/twentytwentyone/assets/js/primary-navigation.js?ver=1.4	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/themes/twentytwentyone/assets/js/primary-navigationad05.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:40	1127/1127	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2017%20Dec%202020%2023:27:08%20GMT	https://wilhelmfontoura.com/wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js?ver=1.4	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/themes/twentytwentyone/assets/js/responsive-embedsad05.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:41	0/-1	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2030%20Mar%202023%2004:33:02%20GMT	https://wilhelmfontoura.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.3	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-includes/js/jquery/jquery.mina767.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:43	13424/13424	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Mar%202023%2004:33:02%20GMT	https://wilhelmfontoura.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:43	42288/42288	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Apr%202023%2017:00:55%20GMT	https://wilhelmfontoura.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.12.1	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/plugins/elementor/assets/js/frontend-modules.minfb6f.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:48	40591/40591	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Apr%202023%2017:00:55%20GMT	https://wilhelmfontoura.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.12.1	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/plugins/elementor/assets/js/frontend.minfb6f.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:50	21438/21438	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2030%20Mar%202023%2004:33:02%20GMT	https://wilhelmfontoura.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-includes/js/jquery/ui/core.min3f14.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:51	1127/1127	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2003%20Jul%202021%2003:38:58%20GMT	https://wilhelmfontoura.com/wp-content/themes/twentytwentyone/assets/js/polyfills.js?ver=1.4	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/themes/twentytwentyone/assets/js/polyfillsad05.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:51	4958/4958	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Apr%202023%2017:00:55%20GMT	https://wilhelmfontoura.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.12.1	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/plugins/elementor/assets/js/webpack.runtime.minfb6f.js	(from https://wilhelmfontoura.com/ceculitis/)
05:03:51	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2002%20Apr%202023%2017:00:55%20GMT	https://wilhelmfontoura.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/Gabriel/OneDrive/%c3%81rea%20de%20Trabalho/Will/S/wilhelmfontoura.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://wilhelmfontoura.com/ceculitis/)
